model,parameters,open_source,ABench,AI2D,BLINK,CCBench,COCO_VAL,ChartQA_TEST,HallusionBench,LLaVABench,MMBench_TEST_CN,MMBench_TEST_CN_V11,MMBench_TEST_EN,MMBench_TEST_EN_V11,MME,MMMU_VAL,MMStar,MMT-Bench_VAL,MMVet,MTVQA,MathVista,OCRBench,OCRVQA_TESTCORE,POPE,QBench,RealWorldQA,SEEDBench2,SEEDBench2_Plus,SEEDBench_IMG,ScienceQA_TEST,ScienceQA_VAL,TextVQA_VAL,VCR,coverage
BlueLM-V-3B,3B,No,77.7,85.3,22.1,74.3,11.7,,48.0,69.3,83.3,82.3,84.1,83.1,1947.0,45.1,62.3,59.2,61.8,32.7,60.9,283,64.7,,77.3,66.7,,61.9,75.2,94.5,94.8,78.4,,27
Ovis1.5-Gemma2-9B,11.4B,Yes,73.5,84.5,43.3,44.1,17.0,,48.2,73.4,78.8,76.2,80.9,78.4,2125.2,49.7,58.1,62.8,53.8,15.3,65.6,235,,87.6,76.7,66.9,,67.4,75.1,93.8,93.5,,75.1,27
Chameleon-7B,7B,Yes,,46.0,16.6,1.4,12.9,2.6,17.1,26.6,7.1,19.6,15.4,19.9,202.7,22.4,31.1,23.9,8.3,,22.5,1,9.0,19.4,,39.0,,29.7,30.5,46.8,44.6,4.8,6.8,27
GLM-4v-9B,9B,Yes,74.0,71.2,,44.9,13.2,,45.0,92.1,70.4,67.1,71.4,68.7,2018.8,46.9,54.8,48.8,58.0,22.8,52.2,228,,89.4,73.3,66.0,49.4,59.7,71.1,96.7,98.7,,75.0,27
Chameleon-30B,30B,Yes,,53.7,21.3,5.9,11.6,2.9,18.6,33.3,17.5,27.8,32.5,37.6,604.5,38.8,31.8,32.4,9.7,,23.8,2,3.7,59.8,,39.2,,39.4,48.5,58.8,57.6,6.6,0.7,27
360VL-70B,70B,Yes,70.3,71.9,46.1,44.9,71.0,,34.8,75.1,77.2,73.9,78.8,76.0,2009.7,53.4,48.1,58.0,24.7,9.6,37.9,168,,87.3,67.6,62.4,,52.3,73.1,87.4,88.9,,42.5,27
MiniCPM-V,3B,Yes,,56.3,40.6,41.4,61.8,44.2,36.2,51.3,62.6,59.6,64.1,61.4,1650.2,38.3,38.6,50.0,31.1,,30.6,180,56.4,79.5,,51.2,,43.2,65.6,77.0,74.4,56.6,7.5,27
HunYuan-Standard-Vision,,No,75.7,93.2,55.4,72.0,18.1,,57.7,80.8,85.0,83.3,86.4,83.9,2250.4,70.7,72.9,66.1,79.9,23.4,66.1,258,,85.8,75.2,67.7,,69.0,73.2,96.4,95.5,,,26
MiniCPM-o-2.6,8.67B,Yes,77.5,86.1,53.9,53.3,13.5,,51.1,87.1,83.0,79.9,83.4,81.3,2255.4,50.9,63.3,62.3,67.2,23.1,73.3,263,,86.7,78.7,68.0,,67.9,75.5,98.8,98.1,,,26
VITA-1.5,8.3B,Yes,70.3,79.2,45.0,48.2,31.0,,44.6,72.8,78.6,76.1,79.8,77.5,2328.1,52.6,60.2,59.5,52.7,16.3,66.2,221,,88.9,71.0,66.9,,66.9,74.1,95.8,95.5,,,26
NVLM-D-72B,79.4B,Yes,72.1,80.1,48.0,59.0,5.8,,49.7,86.8,80.2,78.0,80.4,79.0,2394.5,60.8,63.7,65.3,58.9,19.6,64.0,264,,87.6,71.6,69.9,,68.4,75.5,93.7,93.1,,,26
"GPT-4o (0513, detail-low)",,No,78.8,77.4,64.2,70.6,,,51.7,97.2,82.1,82.5,83.3,83.1,2328.7,62.8,61.6,65.6,66.5,26.4,57.2,267,,85.0,78.4,68.6,,64.0,76.4,90.1,89.4,,92.9,26
Ross-Qwen2-7B,8.2B,Yes,74.2,79.4,45.3,48.4,4.2,,38.7,60.2,76.9,73.8,80.5,77.1,1853.5,49.0,53.9,59.1,43.2,12.3,52.5,226,,88.1,70.7,58.7,,58.3,73.7,95.2,95.0,,,26
VARCO-VISION-14B,15.2B,Yes,74.4,83.9,50.3,53.1,73.6,,46.8,72.8,82.2,80.1,85.1,82.3,2183.3,56.3,64.1,65.3,53.0,21.8,67.6,258,,87.9,74.7,72.5,,69.9,76.6,98.5,98.5,,,26
Step-1o,,No,78.4,89.1,65.4,81.4,28.5,,55.8,107.3,87.6,87.0,88.3,87.6,2411.3,69.9,69.3,69.6,82.8,27.4,74.7,291,,89.1,80.5,74.1,,69.9,77.7,95.3,95.6,,,26
abab6.5s,,No,61.2,52.0,14.1,37.5,20.0,,33.4,70.4,60.9,57.5,61.0,57.9,1675.7,34.0,32.1,35.3,32.2,16.9,23.5,241,,77.6,50.8,30.3,,37.5,62.3,61.4,60.8,,,26
InternVL2.5-78B-MPO,78B,Yes,79.3,89.2,65.7,86.9,28.9,,58.1,103.9,88.2,87.5,88.4,87.9,2479.1,68.2,72.1,70.7,73.5,32.1,76.6,266,,89.5,77.5,77.4,,70.8,77.0,99.5,99.0,,,26
InternVL2.5-38B-MPO,38B,Yes,78.6,87.9,63.2,75.9,27.8,,59.7,99.6,86.4,85.4,86.4,85.4,2446.4,63.8,70.1,69.1,72.6,31.2,73.6,251,,88.9,76.1,74.4,,71.5,78.0,99.1,98.6,,,26
SAIL-VL-2B,2.1B,Yes,74.5,77.4,46.4,42.2,14.5,,45.9,63.8,74.9,71.8,79.0,75.5,1984.0,44.1,56.5,57.1,44.2,20.2,62.8,257,,88.1,72.8,62.0,,66.1,74.6,95.5,95.7,,,26
InternVL2.5-1B-MPO,1B,Yes,67.5,68.5,41.0,78.2,18.3,,34.8,60.2,65.7,64.3,70.1,67.2,1969.6,40.3,49.5,50.8,47.2,21.7,47.7,258,,89.4,63.3,57.0,,58.3,70.4,93.1,93.3,,,26
InternVL2.5-2B-MPO,2B,Yes,71.1,75.1,43.8,86.1,18.9,,40.7,66.7,71.2,69.5,74.5,71.9,2117.9,44.6,54.9,54.4,64.2,22.6,53.4,267,,90.0,69.8,61.3,,61.0,73.2,96.0,95.2,,,26
InternVL2.5-4B-MPO,4B,Yes,75.9,81.5,50.6,82.2,24.9,,47.5,84.3,78.9,76.9,80.4,78.6,2289.8,51.8,61.0,61.6,66.0,28.0,64.1,261,,89.6,71.5,64.4,,66.8,74.8,97.6,97.4,,,26
abab7-preview,,No,75.4,82.3,53.8,59.8,19.1,,51.7,98.0,82.3,80.6,84.5,83.4,2264.9,64.8,66.0,65.6,63.7,26.1,67.5,266,,85.9,77.0,67.3,,67.7,76.8,96.7,96.9,,,26
BailingMM-Pro-0120,81B,No,75.8,87.2,40.5,52.2,20.1,,59.4,95.1,85.7,86.5,87.1,87.7,2335.3,59.2,69.4,64.2,77.6,28.1,72.3,277,,86.2,78.2,70.8,,68.9,73.0,98.2,97.9,,,26
Step-1.5V-mini,,No,71.4,81.3,51.8,72.7,28.1,,46.7,90.6,0.6,79.6,18.1,79.8,2037.5,51.7,54.7,63.6,66.5,19.8,57.8,252,,84.2,74.0,65.6,,66.4,74.8,86.0,84.4,,,26
Ovis2-34B,34.9B,Yes,78.7,88.3,60.1,64.1,15.7,,58.8,93.3,88.0,86.5,87.6,86.6,2406.2,66.7,69.2,71.2,77.1,30.6,76.1,273,,88.0,79.8,75.6,,71.3,77.6,95.7,96.4,,,26
Ovis2-16B,16.2B,Yes,79.4,86.3,59.0,62.4,15.3,,56.8,93.0,86.9,85.5,87.2,85.8,2371.3,60.7,67.2,69.2,68.4,30.3,73.7,275,,87.5,79.5,74.1,,72.1,77.7,95.2,95.0,,,26
Qwen-VL-Max-0809,72B,No,78.9,88.1,60.1,70.6,18.4,,59.2,74.9,50.3,85.7,86.8,86.0,2492.5,64.6,69.2,71.2,72.3,29.2,68.3,268,,86.8,79.4,74.2,,71.9,77.9,91.4,91.8,,,26
Ovis2-8B,8.94B,Yes,76.4,86.6,54.3,59.6,14.2,,56.3,87.0,85.0,83.4,84.8,83.8,2326.6,57.4,64.6,66.6,65.1,29.7,71.8,284,,88.6,78.9,72.5,,70.4,77.2,95.1,95.1,,,26
XinYuan-VL-2B-Instruct,2B,Yes,72.6,74.2,42.7,54.7,6.1,,34.9,42.1,75.7,74.2,78.4,76.2,1838.8,42.9,52.3,55.4,42.3,16.6,47.7,265,,88.1,71.0,63.1,,63.0,73.5,86.7,86.7,,,26
Ovis2-2B,2.46B,Yes,76.6,82.7,47.9,44.7,17.7,,50.2,76.6,79.3,76.8,78.6,77.1,2005.0,45.6,56.7,61.7,58.3,25.6,64.1,274,,87.8,76.2,66.0,,67.4,74.4,91.2,90.1,,,26
Ovis2-1B,1.27B,Yes,71.3,76.4,44.0,37.5,17.5,,45.2,76.2,68.7,66.6,71.6,70.1,1719.5,36.1,52.1,55.5,50.0,23.7,59.4,289,,87.7,71.3,63.9,,61.4,71.7,82.3,79.7,,,26
InternVL2-8B-MPO,8B,Yes,72.4,83.4,50.4,74.7,25.7,,47.7,76.5,78.0,76.4,79.2,76.5,2239.0,48.0,62.5,60.0,55.8,20.1,65.8,219,,85.9,70.4,63.1,,67.4,74.9,97.3,97.6,,,26
BailingMM-Lite-1203,21B,No,70.3,86.0,45.1,49.0,29.3,,60.1,75.4,83.4,82.9,84.0,83.9,2166.1,50.9,67.3,58.8,64.9,13.0,74.5,265,,86.1,72.4,67.1,,63.7,74.4,96.9,97.7,,,26
InternVL2-8B-MPO-CoT,8B,Yes,71.9,83.4,51.9,74.3,15.1,,45.1,78.7,77.2,75.8,78.3,75.6,2297.4,48.1,62.2,60.1,55.7,22.1,65.9,242,,87.7,69.7,64.2,,66.8,74.7,91.5,91.2,,,26
Eagle-X5-34B-Chat,36.8B,Yes,73.7,80.8,30.4,42.7,64.0,,38.1,77.7,75.2,73.7,80.0,77.8,1788.0,51.2,55.5,60.0,42.4,16.2,52.7,49,,90.2,68.4,64.6,,65.5,75.5,88.1,88.7,,,26
Janus-Pro-7B,7.42B,Yes,68.4,68.1,38.7,33.3,19.2,,39.5,74.4,61.2,58.3,62.6,60.0,1791.7,41.6,46.5,50.3,45.1,10.4,42.5,241,,78.9,67.4,42.7,,53.9,70.1,83.2,80.7,,,26
Emu3_chat,8.49B,Yes,61.2,71.5,42.7,19.0,6.1,,31.7,49.2,49.8,46.1,63.8,59.3,1610.5,33.9,46.6,43.4,29.1,5.7,47.6,257,,83.3,66.4,57.1,,44.9,69.2,87.9,87.8,,,26
GLM-4v-Plus-20250111,,No,74.9,86.7,59.5,71.0,24.4,,58.5,92.7,85.4,84.1,88.9,87.8,2418.7,69.9,72.5,66.0,75.7,25.6,73.5,286,,86.0,77.7,72.2,,71.4,76.7,97.2,97.9,,,26
POINTS1.5-Qwen2.5-7B,8.3B,Yes,76.1,81.4,44.0,59.0,10.6,,50.0,79.9,82.1,80.2,82.8,81.2,2226.3,53.8,61.1,61.8,62.2,16.6,66.4,264,,86.8,75.2,67.5,,67.9,75.1,95.0,95.4,,,26
Ovis2-4B,4.62B,Yes,77.5,85.7,53.0,53.1,14.2,,53.8,87.4,82.9,81.0,83.6,81.8,2161.6,49.0,61.9,65.2,65.5,29.4,69.6,285,,88.7,78.1,71.1,,69.3,76.2,94.0,94.5,,,26
InternVL2.5-8B-MPO,8B,Yes,77.0,84.5,56.6,82.9,23.8,,51.7,87.3,82.4,81.5,83.9,82.4,2326.7,54.8,65.2,62.5,68.1,27.2,67.9,264,,88.7,73.8,71.1,,69.3,76.8,98.4,97.9,,,26
MiniMonkey,2.2B,Yes,65.1,74.8,43.5,77.3,24.5,,38.7,62.0,70.3,68.3,72.4,69.6,1899.6,35.0,50.4,50.4,38.0,11.6,45.6,250,,87.8,65.2,57.1,,60.7,71.0,93.9,93.7,,,26
Cambrian-13B,13B,Yes,67.3,73.6,43.1,26.7,10.6,,39.4,76.1,65.0,63.6,73.2,71.4,1876.8,41.6,47.1,,48.9,16.3,47.7,209,,86.8,69.8,58.6,,60.0,73.2,79.3,76.4,,65.9,26
LLaVA-v1.5-7B (QLoRA),7.2B,Yes,,55.9,41.8,28.4,25.0,18.7,25.2,57.2,61.0,59.5,67.7,64.7,1716.6,33.7,34.6,49.1,32.2,,25.4,220,61.0,87.2,,53.7,,41.1,66.4,68.7,68.8,49.7,,26
ShareGPT4V-7B,7.2B,Yes,,58.0,40.9,30.8,9.6,21.3,28.6,66.9,60.7,58.6,67.6,64.6,1914.9,37.2,35.7,51.2,33.4,,26.6,181,63.4,86.6,,54.9,,46.1,69.3,69.5,68.2,51.1,,26
LLaVA-InternLM-7B (QLoRA),7.6B,Yes,,58.0,41.1,37.3,17.3,15.8,28.9,59.7,66.7,64.1,69.0,66.0,1637.1,36.9,35.5,48.3,32.4,,27.1,187,57.6,86.0,,51.2,,44.7,65.7,68.4,65.3,45.8,,26
ShareGPT4V-13B,13.4B,Yes,,61.4,41.6,30.4,12.4,24.6,28.4,69.1,65.1,63.0,69.8,67.5,1853.1,36.6,38.3,52.0,41.1,,29.4,191,64.3,87.5,,57.0,,47.7,70.6,72.6,70.7,52.7,,26
OmniLMM-12B,12B,Yes,,63.3,,37.1,29.8,22.7,35.8,75.8,62.0,59.4,71.7,69.2,1935.8,41.8,39.6,55.3,47.4,,35.2,200,59.1,81.7,,58.4,,46.1,71.5,81.1,78.5,62.3,56.4,26
LLaVA-LLaMA-3-8B,8B,Yes,,69.9,43.5,27.8,9.1,50.4,28.7,69.2,63.2,60.2,71.7,68.5,1825.5,39.2,46.1,49.5,34.1,,40.6,202,61.3,87.3,,56.7,,46.9,70.1,72.2,72.1,52.0,,26
InternLM-XComposer2-1.8B,2B,Yes,63.9,71.1,41.5,40.4,27.1,,33.7,55.7,68.4,66.8,73.0,70.4,1895.9,29.7,46.4,48.6,31.2,7.0,50.3,172,,84.2,64.1,56.3,,50.8,70.8,92.2,91.9,,,26
Qwen2.5-VL-3B,3.75B,Yes,74.9,81.4,49.1,62.0,15.4,,46.6,77.0,77.6,76.5,79.1,77.0,2199.9,51.2,56.3,61.0,60.0,23.8,61.2,249,,85.9,74.9,65.5,,68.5,74.0,81.4,79.3,,,26
InternVL3-78B,78.4B,Yes,78.9,89.8,66.4,83.5,27.7,,59.1,100.4,88.8,87.9,88.8,87.5,2538.6,72.2,73.4,72.6,80.7,32.5,79.0,277,,90.5,78.8,78.4,,71.7,78.7,98.7,98.5,,,26
Mini-InternVL-Chat-2B-V1.5,2B,Yes,66.1,69.7,,62.9,15.5,,37.3,57.3,66.0,63.0,70.7,67.5,1906.1,37.4,46.7,48.9,35.5,10.0,41.3,222,,85.4,63.5,57.9,54.0,59.1,69.5,84.8,81.9,,,26
Mini-InternVL-Chat-4B-V1.5,4B,Yes,69.6,77.0,,59.4,14.7,,43.0,68.6,70.0,66.8,75.7,72.6,2079.2,45.1,53.1,57.8,43.6,13.5,55.0,195,,81.4,68.3,60.8,57.3,62.5,72.2,92.6,92.1,,,26
Gemini-1.5-Pro,,No,75.4,79.1,59.1,28.4,,,45.6,95.3,73.8,73.2,73.9,74.6,2110.6,60.6,59.1,63.4,64.0,32.0,58.3,229,,88.2,74.7,64.1,,70.8,76.0,85.7,85.9,,77.7,26
MiniCPM-Llama3-V2.5,8B,Yes,73.3,78.4,,45.9,11.1,,42.4,86.7,73.8,70.1,77.6,74.0,2024.6,45.8,51.8,57.6,52.8,16.3,54.5,221,,86.7,71.8,63.5,,61.4,72.3,89.2,88.4,,52.6,26
InternVL3-38B,38.4B,Yes,77.1,88.7,64.2,80.6,25.1,,58.4,94.7,86.9,86.6,87.7,87.0,2500.7,69.7,72.6,71.9,81.1,32.4,76.3,280,,89.2,78.3,75.8,,71.8,78.3,99.3,99.2,,,26
LLaVA-v1.5-13B (QLoRA),13.4B,Yes,,61.3,41.3,32.9,19.6,19.0,26.2,63.6,64.7,62.5,68.8,67.0,1766.0,35.2,40.1,50.8,35.9,,28.5,226,63.4,86.9,,52.0,,43.6,67.9,70.3,68.9,50.7,,26
LLaVA-OneVision-7B,8B,Yes,75.2,82.4,53.0,54.9,8.5,,31.6,81.0,82.7,80.9,83.2,80.9,1993.6,47.9,61.9,59.3,51.9,14.0,62.6,192,,88.4,78.9,69.9,,65.4,76.7,95.4,95.1,,,26
"GPT-4o (0806, detail-high)",,No,79.1,84.7,64.7,66.5,24.2,,54.2,96.5,80.3,79.2,82.1,81.8,2291.0,69.9,64.7,67.7,75.1,31.0,62.9,271,,87.2,78.6,76.5,,70.8,76.7,90.1,90.1,,,26
grok-2-vision-1212,,No,76.3,81.2,53.7,57.3,23.4,,51.7,100.0,84.8,82.5,85.3,83.3,2154.7,67.1,65.2,67.6,65.2,22.6,66.6,239,,83.1,72.1,63.0,,60.4,76.3,90.4,90.3,,,26
moonshot-v1-8k,,No,74.3,81.8,55.8,60.2,10.8,,46.1,76.5,78.9,76.2,79.3,76.8,2151.6,57.7,60.1,7.2,52.0,20.0,66.9,267,,2.0,77.5,63.0,,65.3,75.2,1.2,1.3,,,26
Claude3.7-Sonnet,,No,70.7,82.5,56.6,55.1,15.2,,55.4,94.4,80.9,79.5,81.4,79.8,1839.3,71.0,65.1,60.1,70.0,30.6,66.8,265,,82.4,40.5,55.4,,67.6,74.3,90.9,90.9,,,26
Qwen2.5-VL-7B,8.29B,Yes,75.7,84.3,55.3,59.2,15.0,,51.9,91.0,82.8,82.1,83.2,82.4,2312.1,58.0,64.1,62.1,69.7,29.0,68.1,268,,85.9,77.7,68.4,,70.7,77.0,89.0,88.9,,,26
Qwen2.5-VL-72B,73.4B,Yes,81.0,88.5,63.2,73.9,19.5,,54.6,98.7,88.2,87.4,88.3,88.3,2435.0,68.2,70.5,69.0,76.9,31.5,74.2,265,,85.7,80.0,75.3,,73.8,79.5,91.4,91.3,,,26
Qwen-VL-Plus-0809,,No,75.4,82.9,52.9,64.1,15.0,,51.1,73.4,68.6,68.7,82.7,81.1,2300.2,53.2,59.9,63.1,59.6,25.8,61.2,274,,86.1,76.8,70.1,,69.2,76.4,85.8,84.4,,,26
Idefics3-8B-Llama3,8B,Yes,,76.5,50.3,38.8,7.6,40.4,43.7,66.3,74.5,71.9,77.5,75.0,1937.4,46.6,55.0,58.4,41.7,,58.7,84,0.0,86.2,,62.6,,66.2,73.8,91.3,90.5,73.2,,26
InternVL2.5-26B-MPO,26B,Yes,79.4,86.2,62.6,79.8,27.4,,52.4,94.7,85.3,84.1,85.6,84.3,2344.3,56.4,67.7,65.7,68.1,28.7,71.5,272,,90.5,76.0,73.7,,70.1,78.3,98.7,98.3,,,26
granite-vision-3.2-2b,2.98B,Yes,72.4,78.6,46.2,27.8,72.5,,40.7,65.7,68.4,65.7,78.1,75.8,1851.0,39.0,54.6,55.7,40.5,14.2,59.7,259,,87.2,74.0,63.4,,63.2,73.9,94.3,93.1,,,26
LLaVA-Next-Yi-34B,34.8B,Yes,,78.9,,49.2,12.8,67.6,34.8,81.8,79.0,77.1,81.1,78.5,2006.5,48.8,51.6,58.6,50.7,,40.5,178,66.3,89.6,,66.0,59.0,65.9,75.7,82.0,78.8,69.3,,26
granite-vision-3.3-2b,2.98B,Yes,72.6,76.6,41.6,24.9,45.8,,47.0,66.9,67.3,65.0,73.5,71.3,1813.8,39.0,51.9,54.6,45.0,17.0,60.2,252,,85.2,73.0,66.0,,63.9,72.1,90.7,89.9,,,26
LLaVA-OneVision-0.5B,1B,Yes,67.6,59.4,40.1,28.0,11.2,,27.9,59.9,55.5,53.9,61.6,59.6,1448.5,32.7,37.7,51.6,31.5,8.6,35.9,203,,87.8,62.5,51.8,,52.6,66.6,67.5,64.6,,,26
InternLM-XComposer2-4KHD,7B,Yes,,81.0,48.9,47.1,20.2,,42.5,61.8,78.1,76.1,80.2,77.0,2130.4,39.7,55.3,56.3,48.2,,59.5,217,,2.9,,63.3,57.4,65.2,74.6,96.3,96.3,,22.7,25
LLaVA-InternLM2-7B (QLoRA),8.1B,Yes,,63.6,,42.5,18.6,16.0,26.7,56.2,71.7,70.0,73.3,71.9,1699.5,40.1,38.3,53.2,35.9,,28.9,220,58.0,87.8,,56.1,,46.7,71.2,73.7,70.9,49.3,,25
InternLM-XComposer,8B,Yes,,56.9,17.8,49.6,38.3,,36.0,53.8,72.4,45.5,74.4,6.4,1874.2,35.6,6.9,3.2,35.2,,29.9,180,54.5,70.9,,10.2,,3.6,66.1,89.8,88.0,38.5,,25
LLaVA-InternLM2-20B (QLoRA),20.2B,Yes,,65.4,,46.3,17.9,17.6,26.4,63.7,73.7,70.5,75.1,72.3,1867.1,39.4,41.9,53.3,37.2,,28.5,219,61.2,88.1,,56.9,,47.6,70.2,73.7,72.7,50.4,,25
Qwen-VL-Max,,No,,75.7,43.6,63.5,12.3,,41.2,82.3,75.7,73.7,77.6,75.4,2281.7,52.0,49.5,58.3,61.8,,43.6,252,55.0,71.9,,61.3,,61.6,72.7,80.0,79.8,8.6,,25
WeMM,7B,Yes,72.7,77.9,,48.0,15.5,,47.5,70.9,76.8,73.6,79.3,77.8,2150.1,45.3,57.0,57.5,45.0,12.3,54.9,199,,86.7,72.3,68.1,,65.0,75.9,83.3,80.5,,,25
"GPT-4o (0513, detail-high)",,No,79.2,84.6,68.0,71.2,,,55.0,102.0,82.1,81.5,83.4,83.0,2310.3,69.2,63.9,67.3,69.1,31.2,61.8,270,,85.6,78.9,75.4,,72.0,77.1,90.7,89.7,,,25
mPLUG-Owl2,8.2B,Yes,,55.7,,31.0,25.8,22.8,29.4,59.9,60.3,58.0,66.0,63.5,1786.4,34.7,34.8,50.4,35.7,,25.5,141,65.2,84.6,,50.8,,44.4,64.5,69.5,69.5,56.4,,25
IDEFICS-9B-Instruct,9B,Yes,,42.2,38.3,7.8,72.7,,27.3,45.0,25.2,19.5,45.3,35.2,1177.3,18.4,21.6,45.3,30.0,,25.1,158,0.0,81.9,,42.1,,35.4,45.0,53.5,51.6,1.0,,25
InstructBLIP-7B,8B,Yes,,40.6,,12.7,56.8,10.9,31.2,59.8,23.9,18.4,33.9,38.4,1391.4,30.6,32.7,35.1,33.1,,24.6,172,50.2,86.1,,36.9,,29.5,44.5,54.1,54.7,33.6,,25
Aria,25.3B,Yes,71.3,82.7,52.9,48.4,9.5,,44.8,81.4,78.3,76.6,80.0,78.2,2195.1,54.0,60.7,61.5,56.9,,62.4,220,,,75.3,68.4,,66.4,72.7,97.7,97.2,,,24
Claude3.5-Sonnet,,No,,80.2,28.2,54.1,15.5,,49.9,81.0,80.7,79.3,79.7,77.7,1920.0,65.9,62.2,61.8,66.0,,61.8,262,,73.6,,60.1,,71.7,72.2,88.9,89.3,,74.6,24
XGen-MM-Instruct-DPO-v1.5,4.4B,Yes,,72.0,43.9,32.7,30.6,,37.0,69.8,68.7,65.5,78.0,75.2,1790.5,40.1,47.2,55.5,41.0,7.0,40.1,216,,86.9,,61.6,,55.4,71.8,85.5,81.9,,,24
XGen-MM-Instruct-Interleave-v1.5,4.4B,Yes,,74.2,45.8,33.5,12.9,,39.8,66.7,67.1,64.2,78.3,75.3,1808.7,40.9,48.4,55.9,40.2,7.5,40.6,226,,87.2,,61.2,,55.9,72.2,88.3,85.7,,,24
"GPT-4v (0409, detail-high)",,No,70.4,78.6,58.3,57.3,,,43.9,99.8,80.2,79.5,81.0,80.0,2070.2,61.7,56.0,62.7,67.5,,55.2,177,,81.8,75.7,68.0,,69.3,73.0,84.8,84.5,,,24
Phi-3.5-Vision,4B,Yes,,77.8,58.3,27.6,23.3,,40.5,63.7,66.1,62.8,76.0,72.1,1838.1,44.6,47.5,53.6,43.2,,43.3,204,,82.8,,53.6,,62.2,69.7,88.9,90.3,,57.9,24
"GPT-4o-mini (0718, detail-high)",,No,,77.8,53.6,61.4,21.2,,46.1,98.7,75.9,75.0,77.6,77.1,2003.4,60.0,54.8,61.2,66.9,,52.5,261,,81.9,,67.1,,61.4,72.8,85.4,85.6,,87.8,24
InternLM-XComposer2.5,8B,Yes,,81.6,,49.6,10.1,,43.1,70.2,80.9,78.8,82.0,80.1,2233.1,42.9,59.9,57.1,49.3,,64.0,201,,87.9,,67.8,,66.5,75.4,96.6,96.1,78.2,63.0,24
MiniGPT-4-v2,8B,Yes,,30.5,,1.4,12.6,,30.0,28.8,4.7,1.4,9.4,5.0,968.4,25.0,21.3,22.1,10.5,,24.0,6,0.0,60.0,,30.7,,23.3,29.4,54.7,54.1,0.0,,24
OpenFlamingo v2,9B,Yes,,31.7,,6.3,6.4,,29.4,34.2,14.4,13.3,5.7,2.4,607.2,28.8,26.9,28.6,23.3,,19.9,45,8.9,52.6,,35.2,,28.7,28.8,44.8,45.7,16.3,,24
ShareCaptioner,8B,Yes,,56.7,,40.4,8.8,,34.2,47.4,60.9,57.8,66.5,63.9,1642.5,36.3,38.4,47.6,30.1,,29.5,168,50.2,84.4,,52.7,,42.4,61.2,82.3,81.0,38.0,,24
MiniGPT-4-v1-7B,8B,Yes,,28.4,,1.8,19.6,,31.9,45.1,11.9,10.7,23.0,30.9,1047.4,23.6,16.3,16.5,15.6,,21.3,109,0.3,34.6,,21.3,,15.2,31.6,39.6,39.0,0.6,,24
VisualGLM,8B,Yes,,41.2,,17.3,28.6,,25.0,37.3,35.5,34.6,37.6,36.7,738.1,29.9,25.9,30.6,14.8,,23.9,113,0.0,70.4,,39.9,,30.2,47.0,56.1,53.4,0.0,,24
MMAlaya,7.8B,Yes,,42.3,,28.6,31.2,10.2,32.9,50.2,58.6,56.6,58.7,55.7,1356.0,32.0,34.3,,22.2,,22.9,133,51.0,82.7,,45.2,,32.9,57.5,60.9,57.7,27.1,,24
Emu2_chat,37B,Yes,,49.7,,18.8,78.2,26.8,29.5,56.4,45.9,44.3,63.6,61.3,1678.0,35.0,40.7,,31.0,,31.3,216,41.0,88.0,,57.3,,42.1,68.9,68.2,65.3,67.6,,24
PandaGPT-13B,14B,Yes,,50.3,,6.7,19.9,,20.0,37.1,32.0,29.2,42.5,39.7,1072.2,32.9,25.6,32.4,19.6,,25.6,8,0.0,75.1,,32.8,,29.6,47.6,63.2,60.9,0.0,,24
Llama-3.2-90B-Vision-Instruct,88.6B,Yes,,69.5,48.0,54.1,12.1,,44.1,86.5,77.8,75.2,80.4,79.5,1741.0,60.3,55.3,60.4,64.1,,58.2,262,,86.3,,68.2,,68.2,76.8,87.1,83.5,,,23
Llama-3-VILA1.5-8B,8B,Yes,,58.8,39.5,23.7,11.9,,35.3,71.7,60.4,57.9,62.1,57.9,1698.5,37.4,39.7,48.7,41.9,,37.4,185,,83.3,,43.4,,45.2,65.0,73.2,71.7,,,23
IDEFICS-80B-Instruct,80B,Yes,,54.8,,10.6,76.1,,23.4,56.9,38.1,44.4,54.6,11.3,1518.2,24.0,26.1,,39.7,,28.9,156,0.0,66.0,,49.0,,41.5,52.0,61.8,59.9,0.0,,23
VILA1.5-13B,13B,Yes,,69.9,48.1,24.3,10.6,,39.3,73.5,67.7,65.2,74.4,71.8,1718.2,41.1,44.2,53.8,45.0,,42.3,182,,85.0,,53.3,,50.2,72.7,79.1,77.7,,,23
Parrot-7B,8B,Yes,,60.9,39.9,41.8,43.5,,35.2,55.3,71.7,69.2,72.0,68.8,1818.1,36.7,39.1,52.2,29.8,,27.2,172,,85.3,,54.8,,47.5,70.1,70.2,70.2,,,23
Llama-3-MixSense-v1.1,8B,Yes,,72.4,45.2,30.0,19.4,,36.2,62.9,72.9,70.1,77.0,73.7,1761.0,39.3,53.1,55.2,41.1,,50.4,185,,89.7,,63.5,,59.7,75.2,83.1,82.7,,,23
Yi-Vision,,No,,78.2,56.7,50.6,12.7,,50.3,76.0,78.6,76.1,78.1,76.6,2203.7,60.3,60.5,62.9,57.6,,57.8,257,,84.1,,60.9,,62.1,73.6,88.5,86.5,,,23
RBDash-v1.5,79B,Yes,79.4,85.0,47.0,55.7,,,49.1,80.8,83.0,80.3,84.6,82.3,2292.6,59.9,63.5,65.9,50.0,,61.5,244,,,78.5,68.1,,67.3,77.5,90.6,90.9,,,23
